Date,S&P500,AAL,ALGT,ALk,DAL,HA,LUV,BCS,CS,DB,GS,MS,WFC,BHC,JNJ,MRK,PFE,RHHBY,UNH,AAPL,AMZN,GOOG,IBM,MSFT,FB
26-10-2015,0.138203839,0.757232455,0.837777626,0.725091363,0.730725489,0.521772799,0.516265889,0.96908939,0.955935819,0.984170954,0.37598434,0.291778568,0.731797252,0.584143587,0.10859808,0.099424624,0.319616685,0.351100276,0.034037374,0.055871691,0.041496954,0.0908603,0.56079384,0.051539774,0.060199096
27-10-2015,0.135183997,0.757030108,0.854111228,0.709311407,0.720491215,0.512483095,0.509193777,0.962406015,0.944530842,0.978235101,0.370926924,0.283181066,0.727880155,0.581266883,0.112608347,0.112313024,0.36640372,0.344254311,0.047279338,0.054236322,0.042284007,0.087019586,0.494264786,0.048545757,0.059870396
28-10-2015,0.149147213,0.744891771,0.827321634,0.673317732,0.703888986,0.509967109,0.507779326,0.979114453,0.97304313,0.982588009,0.407123794,0.315690444,0.758525363,0.624187306,0.117260272,0.149827338,0.392333766,0.366748148,0.049191008,0.064810255,0.044281123,0.091012479,0.528332244,0.050096233,0.062218255
29-10-2015,0.148610504,0.744891771,0.813834082,0.680881569,0.712076409,0.50570928,0.517444578,0.888053467,0.951788593,0.886822279,0.396792113,0.318377225,0.750230409,0.592543558,0.131536821,0.144533921,0.354002255,0.370171131,0.048864622,0.067632971,0.047380118,0.094566648,0.525120509,0.046781439,0.065411343
30-10-2015,0.142873528,0.752174798,0.811854208,0.687141389,0.719808954,0.504548123,0.528524281,0.868003342,0.950233331,0.889196715,0.379524583,0.303062878,0.728340985,0.490535605,0.126082794,0.139700802,0.300450958,0.367726192,0.039865695,0.06532552,0.047166972,0.089096604,0.519729353,0.042931984,0.051746824
02-11-2015,0.156967891,0.757232455,0.798861626,0.698617615,0.716624988,0.516353813,0.539132508,0.899749373,0.970451009,0.912544559,0.395274839,0.316765162,0.744700409,0.529083466,0.144369593,0.150057557,0.370349549,0.358435288,0.044108727,0.06908913,0.047970398,0.098317802,0.523055724,0.04613987,0.058039071
03-11-2015,0.160244589,0.757839353,0.80016084,0.70579032,0.723447799,0.532997843,0.54431867,0.888053467,0.928978794,0.905817214,0.402572064,0.311660406,0.746543773,0.51406707,0.141000985,0.150057557,0.365276268,0.366748148,0.0393062,0.072203069,0.046973481,0.099257818,0.540376325,0.05100514,0.054611216
04-11-2015,0.15597461,0.740238727,0.80102701,0.702269245,0.715715254,0.529127183,0.536775059,0.869674185,0.918092272,0.880886427,0.409507921,0.314615833,0.738479303,0.480237038,0.140680212,0.159723794,0.318489233,0.359413332,0.025224953,0.07092613,0.052102397,0.104584644,0.537508695,0.052341752,0.060997392
05-11-2015,0.154615904,0.739631747,0.821196595,0.710745953,0.712986143,0.549061362,0.537482249,0.847953216,0.910834677,0.872180451,0.412181211,0.327512099,0.744930893,0.404234475,0.146936228,0.148676613,0.3190531,0.375061204,0.032638596,0.068506666,0.056923053,0.107395784,0.51754992,0.052234818,0.08363075
06-11-2015,0.154199191,0.734371824,0.845573178,0.71100683,0.727996378,0.569769703,0.54172553,0.854636591,0.926386829,0.878907835,0.463839283,0.368619005,0.767741884,0.421494701,0.140359327,0.138550077,0.306651635,0.351589372,0.0260176,0.068820291,0.058142964,0.109642903,0.498738277,0.055121885,0.07583584
