Date,S&P500,AAL,ALGT,ALk,DAL,HA,LUV,BCS,CS,DB,GS,MS,WFC,BHC,JNJ,MRK,PFE,RHHBY,UNH,AAPL,AMZN,GOOG,IBM,MSFT,FB
26-10-2010,0.03482015,0.141912977,0.022519745,0.013653803,0.118677043,0.068471339,0.105531047,0.768221761,0.848038906,0.863409339,0.380170147,0.25413536,0.077880163,0.072005038,0.063157898,0.116664001,0.039759471,0.033653037,0.012493525,0.008455036,0.005008258,0.047992467,0.379244805,0.010531889,0
27-10-2010,0.033534668,0.146869834,0.022109352,0.016333785,0.12663601,0.065994339,0.108754664,0.786535111,0.854901677,0.864912138,0.390187386,0.258646617,0.074193527,0.07314673,0.060398572,0.106861639,0.032743133,0.041393236,0.006833473,0.008391798,0.004286026,0.047281208,0.385524198,0.011253246,0
28-10-2010,0.034070642,0.144666786,0.03934543,0.017857143,0.128404669,0.067763625,0.108754664,0.77852304,0.865685999,0.871257418,0.406828979,0.268528485,0.07857143,0.07302862,0.060296385,0.11457496,0.042432374,0.046272926,0.007937874,0.007647195,0.004087709,0.047985798,0.381145127,0.012359344,0
29-10-2010,0.033861093,0.143014501,0.041397354,0.017828933,0.128581535,0.062632697,0.108754664,0.771655542,0.849754611,0.870589527,0.395465343,0.268743308,0.081336361,0.075193897,0.062135946,0.104451258,0.03742068,0.042066296,0.00724762,0.0064225,0.003611155,0.046356204,0.403453744,0.014234881,0
01-11-2010,0.034312411,0.140627866,0.042833683,0.016813361,0.125574814,0.06227884,0.110620969,0.764788105,0.835783986,0.850718726,0.397835022,0.264661654,0.078340993,0.074957678,0.061624929,0.103487077,0.044102972,0.040383678,0.007454702,0.007342458,0.002826766,0.046790321,0.401140276,0.015581428,0
02-11-2010,0.038015628,0.145401136,0.04421873,0.019098398,0.127874071,0.063340412,0.114183914,0.776233832,0.865685999,0.868084769,0.404567033,0.263157916,0.079262629,0.075430104,0.063566697,0.109272084,0.038423053,0.053844859,0.010526312,0.008831656,0.003427638,0.046990685,0.40543664,0.017697413,0
03-11-2010,0.039784647,0.148154945,0.049861482,0.021327015,0.133887513,0.064578911,0.114692906,0.797980962,0.867156596,0.867416878,0.403543757,0.280128894,0.090552951,0.077752848,0.066734822,0.107665094,0.0431006,0.055022716,0.009352887,0.009820616,0.004570184,0.048520076,0.408163253,0.015966154,0
04-11-2010,0.049093159,0.138791993,0.051246528,0.024740465,0.133710647,0.062101912,0.116898539,0.845481195,0.905391978,0.895970684,0.423793616,0.300966724,0.113594427,0.073501046,0.072560065,0.109914877,0.036084195,0.061416827,0.009836058,0.011393177,0.00470634,0.049885865,0.429810736,0.016495143,0
05-11-2010,0.051023324,0.13897558,0.052067294,0.026517717,0.135125575,0.060509555,0.116050219,0.841475159,0.906127277,0.888957443,0.448998311,0.320515596,0.154147423,0.073382941,0.071435895,0.094648912,0.02940197,0.051320882,0.01004314,0.011065442,0.005250977,0.050156339,0.430884891,0.015100515,0
08-11-2010,0.049975627,0.132733612,0.049810194,0.02431731,0.132118854,0.062809626,0.117237867,0.823161872,0.914215512,0.879272514,0.438927168,0.319011794,0.150000003,0.067753237,0.068165583,0.093363327,0.025058469,0.04509507,0.010940459,0.011493798,0.005612093,0.05072069,0.427084255,0.014908147,0
